date,value,unit,source,frequency,notes
2024-11-01,99543.69,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2024-12-01,96533.88,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-01-01,91267.27,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-02-01,90862.04,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-03-01,89546.1,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-04-01,85250.2,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-05-01,82233.83,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-06-01,77075.4,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-07-01,77346.04,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-08-01,81553.95,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-09-01,84644.21,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-10-01,82990.08,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-11-01,85629.72,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2025-12-01,95256.61,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2026-01-01,131371.47,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
2026-02-01,149174.5,USD per metric ton (99% battery grade),IMF Primary Commodity Price System (PCPS),Monthly,Raw IMF battery grade prices — authoritative series
