date,value,unit,source,frequency,notes
2007-10-01,2442.37,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2007-11-01,2506.89,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2007-12-01,2381.69,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-01-01,2445.52,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-02-01,2776.93,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-03-01,3005.29,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-04-01,2959.27,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-05-01,2902.9,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-06-01,2957.86,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-07-01,3071.24,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-08-01,2764.38,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-09-01,2525.82,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-10-01,2121.41,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-11-01,1852.42,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2008-12-01,1490.43,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-01-01,1413.12,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-02-01,1330.2,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-03-01,1335.84,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-04-01,1420.85,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-05-01,1460.45,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-06-01,1573.73,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-07-01,1667.96,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-08-01,1933.75,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-09-01,1834.11,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-10-01,1878.57,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-11-01,1949.29,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2009-12-01,2180.09,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-01-01,2235.15,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-02-01,2048.93,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-03-01,2205.63,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-04-01,2316.72,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-05-01,2040.53,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-06-01,1931.39,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-07-01,1988.27,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-08-01,2118.14,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-09-01,2162.34,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-10-01,2346.57,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-11-01,2333.07,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2010-12-01,2350.67,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-01-01,2439.52,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-02-01,2508.18,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-03-01,2555.5,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-04-01,2678.11,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-05-01,2596.45,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-06-01,2557.76,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-07-01,2525.43,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-08-01,2379.35,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-09-01,2293.46,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-10-01,2180.65,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-11-01,2079.98,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2011-12-01,2022.25,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-01-01,2144.2,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-02-01,2207.92,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-03-01,2184.16,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-04-01,2049.67,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
2012-05-01,2007.63,USD per metric ton,World Bank Pink Sheet (live download),Monthly,"LME aluminum spot price, standard grade"
